bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Buz Pisti 1,38.468382,27.211666,20
Pasaport İskele,38.4275173482,27.1325844103,20
Yunuslar,38.4511789658,27.1041118947,12
Vasıf Çınar,38.4303211039,27.1342384751,20
Göztepe Köprü,38.3992000613,27.0837509082,30
Susuzdede,38.4021639086,27.0930261205,15
Mavişehir İzban,38.481502,27.083854,12
Karşıyaka iskele,38.4552765126,27.120318845,3
Bayraklı İskele,38.4635758915,27.1627288532,15
Karşıyaka Evlendirme Dairesi,38.4494793514,27.1105867977,12
Bostanlı Spor Tesisleri,38.4622502557,27.0849728096,40
Kuş Cenneti,38.533134,26.898589,30
Köprü,38.4062155783,27.0987910553,15
Fuar Basmane,38.424372,27.143219,15
İzban Turan İstasyonu,38.4671289884,27.1495805948,12
Buz Pisti 2,38.46576,27.207689,20
Üçkuyular İskelesi,38.4047512791,27.0701936867,30
Karataş,38.4116478229,27.1201230494,15
Alaybey Tersane Cafe,38.460954,27.127738,12
Meles Rekreasyon Alanı,38.4451831829,27.1707578568,22
Bayraklı Nikah Salonu,38.4667637722,27.158891294,12
Fuar Montrö,38.427879,27.14175,15
Sahilevleri 2,38.406137,26.996162,20
İnciraltı Rekreasyon Alanı,38.4134047464,27.0325753524,40
Hasanaga Parkı 1,38.384679,27.179861,12
İnciraltı Kent Ormanı,38.4066894063,27.0618320135,40
Alsancak Garı,38.439948857,27.1478470394,15
Mavişehir Balıkçı Barınağı,38.465435,27.0817107,12
Ali Çetinkaya Bulvarı,38.4340526994,27.1380971058,12
Karantina,38.4090090197,27.1089924616,15
Alsancak İskele,38.4384639223,27.1414140426,20
A.A Saygun,38.4006949388,27.0781865266,20
Fuar Lozan,38.42975,27.142266,15
Mavi Bahçe,38.4749864,27.0747371,12
Bostanlı iskele ,38.45471,27.096761,12
Fahrettin Altay,38.39675,27.070629,12
Plevne Bulvarı,38.433102,27.141135,12
Konak İskele,38.4187847458,27.1264456215,38
Sahilevleri 1,38.411389,27.013472,40
Bisim Üye Noktası,38.4187094,27.1250995,0
Konak Metro ,38.416539,27.127547,20
Liman,38.4421949873,27.1432792183,12
Bostanlı Odağı,38.456065695,27.0926334293,24
Hasanaga Parkı 2,38.381967,27.177583,12
Mavişehir,38.4674834,27.0793412,8
Doğal Yaşam Parkı,38.487952,26.958984,24
